fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
1073,100000.0,150.0,0.002148123923689127,4096000,0.9864661134779453,400.0,392.5,12800,390.0,1.8814172744750977
1072,100000.0,144.0,0.0023413109593093395,4128000,0.978254247456789,400.0,392.5,12900,117.0,1.8944088220596313
1072,100000.0,188.0,0.003660207614302635,4160000,0.9696921650320292,400.0,400.0,13000,422.0,2.1790881156921387
1071,100000.0,202.0,0.00126570591237396,4192000,0.9818305149674416,400.0,390.0,13100,455.0,2.285863161087036
1070,100000.0,210.0,0.0009535283898003399,4224000,0.9897035835310817,400.0,392.5,13200,273.0,2.111574172973633
1069,100000.0,206.0,0.00172927207313478,4256000,0.9901162469759583,400.0,400.0,13300,151.0,2.2952888011932373
1068,100000.0,207.0,0.0022564225364476442,4288000,0.975166343152523,400.0,400.0,13400,432.0,1.9948049783706665
1067,100000.0,208.0,0.00920971017330885,4320000,0.9396108090877533,400.0,400.0,13500,196.0,1.9897044897079468
1067,100000.0,200.0,0.0014670671662315726,4352000,0.9893804294988513,400.0,400.0,13600,185.0,2.101227045059204
1066,100000.0,196.0,0.002438259543851018,4384000,0.9792888090014458,400.0,390.0,13700,437.0,2.0994513034820557
1065,100000.0,198.0,0.0007400558097288013,4416000,0.9927924075163901,400.0,400.0,13800,317.0,2.265167713165283
1064,100000.0,195.0,0.001213486772030592,4448000,0.9864307828247547,400.0,400.0,13900,378.0,2.102254629135132
1064,100000.0,204.0,0.001151650445535779,4480000,0.9895686618983746,400.0,390.0,14000,424.0,2.134779453277588
1063,100000.0,205.0,0.0009168380638584495,4512000,0.9900300661101937,400.0,400.0,14100,258.0,2.1768059730529785
1062,100000.0,184.0,0.001695716055110097,4544000,0.9864203939214349,400.0,400.0,14200,129.0,1.9348609447479248
1062,100000.0,181.0,0.0017771453130990267,4576000,0.9874968351796269,400.0,400.0,14300,358.0,2.0038552284240723
1061,100000.0,177.0,0.0006141230696812272,4608000,0.9938162644393742,400.0,400.0,14400,358.0,2.2873785495758057
1061,100000.0,194.0,0.0018311131279915571,4640000,0.9797560293227434,400.0,390.0,14500,237.0,2.4448294639587402
1060,100000.0,195.0,0.002086672931909561,4672000,0.9773198459297419,400.0,392.5,14600,237.0,2.002746343612671
1059,100000.0,187.0,0.0009897621348500252,4704000,0.9911269173026085,400.0,400.0,14700,330.0,2.215723991394043
1059,100000.0,190.0,0.0020430744625627995,4736000,0.9848250206559896,400.0,392.5,14800,394.0,1.8548790216445923
1058,100000.0,199.0,0.005282320082187653,4768000,0.9659211859107018,400.0,400.0,14900,165.0,1.8832237720489502
1057,100000.0,218.0,0.0015432509826496243,4800000,0.98525255266577,400.0,400.0,15000,396.0,2.1137516498565674
1057,100000.0,214.0,0.000789582438301295,4832000,0.9911773102357984,400.0,400.0,15100,133.0,2.19620680809021
1056,100000.0,194.0,0.004504126496613026,4864000,0.9604569971561432,500.0,402.5,15200,390.0,1.9817606210708618
1056,100000.0,188.0,0.0016646161675453186,4896000,0.9817948285490274,500.0,390.0,15300,328.0,2.1819682121276855
1055,100000.0,201.0,0.002061879960820079,4928000,0.9865431375801563,500.0,400.0,15400,167.0,1.9934160709381104
1054,100000.0,226.0,0.002355429343879223,4960000,0.9798238184303045,400.0,400.0,15500,460.0,2.002852201461792
1054,100000.0,230.0,0.0026910046581178904,4992000,0.9826615769416094,400.0,400.0,15600,362.0,1.9788739681243896
1053,100000.0,221.0,0.002894825767725706,5024000,0.9826159924268723,400.0,390.0,15700,31.0,1.965246558189392
1053,100000.0,218.0,0.0013228568714112043,5056000,0.988213611766696,400.0,400.0,15800,464.0,1.9612356424331665
1052,100000.0,220.0,0.0019954009912908077,5088000,0.9874502094462514,400.0,400.0,15900,441.0,1.981184720993042
1052,100000.0,215.0,0.004532641265541315,5120000,0.9555441029369831,400.0,392.5,16000,327.0,1.9093793630599976
1051,100000.0,213.0,0.002669570967555046,5152000,0.9813619181513786,400.0,392.5,16100,447.0,1.8244895935058594
1051,100000.0,216.0,0.0019476907327771187,5184000,0.9800737332552671,400.0,400.0,16200,454.0,1.9341351985931396
1050,100000.0,226.0,0.0010685368906706572,5216000,0.9882977697998285,400.0,400.0,16300,300.0,2.282898187637329
1050,100000.0,226.0,0.0014957466628402472,5248000,0.9895124929025769,400.0,400.0,16400,248.0,1.9694550037384033
1049,100000.0,220.0,0.00098576454911381,5280000,0.9902580846101046,400.0,392.5,16500,283.0,2.2329020500183105
1049,100000.0,218.0,0.0017237102147191763,5312000,0.9870621040463448,400.0,400.0,16600,418.0,1.8352725505828857
1048,100000.0,216.0,0.0006576926680281758,5344000,0.9944504792802036,400.0,400.0,16700,358.0,2.276491641998291
1048,100000.0,208.0,0.0008404339896515012,5376000,0.992952324450016,400.0,400.0,16800,86.0,2.215695381164551
1048,100000.0,195.0,0.001598935923539102,5408000,0.9849571837112308,400.0,400.0,16900,395.0,2.1817617416381836
1047,100000.0,192.0,0.001571550965309143,5440000,0.9830761812627316,400.0,392.5,17000,333.0,2.2191269397735596
1047,100000.0,201.0,0.002011732431128621,5472000,0.982880026102066,400.0,400.0,17100,401.0,2.054161787033081
1046,100000.0,212.0,0.0018175384029746056,5504000,0.9829326178878546,400.0,400.0,17200,392.0,2.0860981941223145
1046,100000.0,210.0,0.0008239817107096314,5536000,0.9939052881672978,400.0,400.0,17300,258.0,2.2353203296661377
1046,100000.0,197.0,0.0008287327364087105,5568000,0.9902382576838136,400.0,400.0,17400,356.0,2.3312313556671143
1045,100000.0,194.0,0.0014145656023174524,5600000,0.989826237782836,400.0,400.0,17500,149.0,2.0394318103790283
1045,100000.0,201.0,0.0007519982173107564,5632000,0.9950145534239709,400.0,400.0,17600,422.0,2.1417083740234375
1045,100000.0,217.0,0.0012982398038730025,5664000,0.9891603123396635,400.0,400.0,17700,456.0,2.039674758911133
1044,100000.0,219.0,0.0019138377392664552,5696000,0.9858523178845644,400.0,392.5,17800,189.0,1.9940283298492432
1044,100000.0,220.0,0.0009478220017626882,5728000,0.9896280262619257,400.0,400.0,17900,219.0,2.2904086112976074
1043,100000.0,215.0,0.001741445274092257,5760000,0.9847339037805796,400.0,400.0,18000,424.0,2.091059923171997
1043,100000.0,209.0,0.0009351983899250627,5792000,0.9905957449227571,400.0,400.0,18100,309.0,2.274324417114258
1043,100000.0,192.0,0.00348370848223567,5824000,0.9720048941671848,400.0,400.0,18200,144.0,2.079037666320801
1042,100000.0,189.0,0.0003525163629092276,5856000,0.994726684410125,400.0,400.0,18300,210.0,2.4863457679748535
1042,100000.0,191.0,0.0009994180873036385,5888000,0.9906956031918526,400.0,400.0,18400,80.0,2.318516969680786
1042,100000.0,201.0,0.0019002954941242933,5920000,0.9884434211999178,400.0,400.0,18500,1.0,2.2806015014648438
1041,100000.0,213.0,0.0018677342450246215,5952000,0.9749709870666265,400.0,400.0,18600,355.0,2.2327237129211426
1041,100000.0,216.0,0.0013185994466766715,5984000,0.9895647587254643,400.0,400.0,18700,441.0,2.213848114013672
1041,100000.0,220.0,0.0009768222225829959,6016000,0.9877747697755694,400.0,400.0,18800,264.0,2.2204904556274414
1041,100000.0,220.0,0.0019743351731449366,6048000,0.9873246308416128,400.0,400.0,18900,318.0,2.1598150730133057
1040,100000.0,205.0,0.001302459160797298,6080000,0.9926944198086858,400.0,400.0,19000,176.0,2.133831739425659
1040,100000.0,204.0,0.005020470824092627,6112000,0.9651923179626465,400.0,390.0,19100,298.0,2.1527440547943115
1040,100000.0,200.0,0.003067753044888377,6144000,0.9771475698798895,400.0,400.0,19200,248.0,1.9780242443084717
