total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
5980160,1893,0.0,0.0,0.0,730,2.5768125,0.0037700317,0.0,-0.004082459,93440,3164.1260929107666,3.2686883e-05,0.028381348,0.0,0.0,-1.154331922531128
6062080,1905,0.0,0.0,0.0,740,2.6644063,0.0022274884,0.0,-0.0037932901,94720,3208.1084275245667,2.5227913e-05,0.024627686,0.0,0.0,-2.4687023162841797
6144000,1911,0.0,0.0,0.0,750,2.5962658,0.002632652,0.0,-0.004217198,96000,3251.6794612407684,3.5065463e-05,0.02154541,0.0,0.0,-2.1870832443237305
6225920,1953,0.0,0.0,0.0,760,2.7174997,0.0021222548,0.0,-0.004024285,97280,3294.8307988643646,2.1709484e-05,0.016998291,0.0,0.0,-1.2865300178527832
6307840,1927,0.0,0.0,0.0,770,2.6892903,0.0018948835,0.0,-0.0037599087,98560,3336.9916253089905,3.253077e-05,0.012939453,0.0,0.0,-2.4915342330932617
6389760,1924,0.0,0.0,0.0,780,2.727789,0.0016254022,0.0,-0.0012692447,99840,3379.301591396332,0.0005192473,0.011016846,0.0,0.0,0.05798548460006714
6471680,1961,0.0,0.0,0.0,790,2.437948,0.00455736,0.0,-0.0052535287,101120,3421.700614452362,4.224403e-05,0.04611206,0.0,0.0,-0.8970171213150024
6553600,1904,0.0,0.0,-0.575,800,2.3007815,0.004957731,-1.925,-0.0049483613,102400,3463.5800886154175,3.4894805e-05,0.048461914,0.0,0.0,-4.554088115692139
6635520,1971,0.0,0.0,0.0,810,2.3838203,0.0026977155,0.0,-0.003835367,103680,3505.513071537018,2.715791e-05,0.024261475,0.0,0.0,-3.39412260055542
6717440,2008,0.0,0.0,0.0,820,2.3846085,0.0030693058,0.0,-0.005222453,104960,3547.4718656539917,2.5771318e-05,0.027282715,0.0,0.0,-2.5819010734558105
6799360,1914,0.0,0.0,-0.025,830,2.4738474,0.0033281783,-2.5,-0.0048493315,106240,3589.5335030555725,4.030535e-05,0.019470215,0.0,0.0,-0.0754772424697876
6881280,1883,0.0,0.0,-0.025,840,2.5667114,0.002892088,-2.5,-0.0051097004,107520,3632.6430706977844,1.7907869e-05,0.018920898,0.0,0.0,-1.2733535766601562
6963200,1964,0.0,0.0,0.0,850,2.6302798,0.0015137659,0.0,-0.0034184721,108800,3675.0406470298767,4.025283e-05,0.010314941,0.0,0.0,-1.4427456855773926
7045120,2003,0.0,0.0,-2.575,860,2.577641,0.0036171223,-12.35,-0.004442216,110080,3717.7776670455933,0.000120320874,0.0345459,0.0,0.0,0.32634955644607544
7127040,2170,0.0,0.0,-0.05,870,2.747638,0.0016435857,-5.0,-0.0038142183,111360,3762.878066778183,9.4810865e-05,0.0045776367,0.0,0.0,-0.9717650413513184
7208960,2159,0.0,0.0,0.0,880,2.5563502,0.0034790875,0.0,-0.005054525,112640,3800.1742861270905,4.0529572e-05,0.04043579,0.0,0.0,-3.339024066925049
7290880,2241,0.0,0.0,0.0,890,2.4310253,0.004348844,0.0,-0.004167907,113920,3836.7099261283875,4.9214937e-05,0.04547119,0.0,0.0,-4.3111348152160645
7372800,2153,0.0,0.0,0.0,900,2.5252783,0.0036328288,0.0,-0.0052234353,115200,3874.0095932483673,6.0408198e-05,0.030670166,0.0,0.0,-3.7700462341308594
7454720,2132,0.0,0.0,0.0,910,2.6535869,0.001974303,0.0,-0.0047714883,116480,3911.8819541931152,2.9795354e-05,0.011962891,0.0,0.0,-1.5687944889068604
7536640,2149,0.0,0.0,0.0,920,2.6494558,0.0029038088,0.0,-0.004803662,117760,3949.9865345954895,5.1255887e-05,0.022613525,0.0,0.0,-1.7236251831054688
7618560,2120,0.0,0.0,0.0,930,2.6609786,0.004016742,0.0,-0.0039186603,119040,3988.535364627838,2.8103126e-05,0.03543091,0.0,0.0,-2.078281879425049
7700480,2188,0.0,0.0,-0.1,940,2.6253304,0.002601896,-10.0,-0.004572004,120320,4026.058564901352,3.6961228e-05,0.021942139,0.0,0.0,-0.5192933082580566
7782400,2195,0.0,0.0,0.0,950,2.6068056,0.0040977453,0.0,-0.0057112277,121600,4063.9754424095154,3.1304844e-05,0.044006348,0.0,0.0,-1.1554474830627441
7864320,2085,0.0,0.0,0.0,960,2.5251536,0.0023917994,0.0,-0.0064288946,122880,4101.796150684357,3.0752075e-05,0.020233154,0.0,0.0,-2.3874881267547607
7946240,2158,0.0,0.0,0.0,970,2.611252,0.0014748957,0.0,-0.004779588,124160,4139.463260173798,3.5029087e-05,0.012145996,0.0,0.0,-2.606689929962158
