episode_raw_reward,value_loss,sil_num_episodes,nupdates,policy_loss,policy_entropy,total_timesteps,episode_reward,serial_timesteps,time_elapsed,approxkl,explained_variance,clipfrac,sil_valid_samples,sil_steps,best_episode_reward,fps
390.0,4.161251e-05,106.0,44800,-0.0050799386,2.2064488,367001600,1.95,5734400,188717.64260983467,0.0020710712,0.9995467133412603,0.014343262,512.0,50000.0,400.0,1899
400.0,5.2282354e-05,106.0,44810,-0.0069469805,2.0085568,367083520,2.0,5735680,188759.67417097092,0.0029728422,0.9995419685728848,0.018615723,512.0,50000.0,400.0,1932
392.5,7.1934606e-05,107.0,44820,-0.00715252,2.311718,367165440,1.975,5736960,188802.50755691528,0.0026365058,0.999049608304631,0.013427734,512.0,50000.0,400.0,2019
400.0,4.1638355e-05,102.0,44830,-0.0059744446,2.2499964,367247360,2.0,5738240,188844.74710798264,0.0023278638,0.9995339637098368,0.013702393,512.0,50000.0,400.0,2024
400.0,0.00019176924,107.0,44840,-0.009425425,2.045684,367329280,2.0,5739520,188887.19845294952,0.0037684436,0.9977017829660326,0.01763916,512.0,50000.0,400.0,1939
400.0,4.027873e-05,102.0,44850,-0.0054828846,2.178612,367411200,2.0,5740800,188929.3236927986,0.002322269,0.9995976782229263,0.011413574,512.0,50000.0,400.0,1933
400.0,4.1271607e-05,111.0,44860,-0.0051450348,2.2898343,367493120,2.0,5742080,188971.48306632042,0.0017303807,0.9994211193406954,0.013092041,512.0,50000.0,400.0,1980
400.0,0.00010489874,109.0,44870,-0.005450552,2.0669117,367575040,2.0,5743360,189014.1662118435,0.0028888572,0.9990826426655985,0.01071167,512.0,50000.0,400.0,1956
400.0,4.6463225e-05,113.0,44880,-0.004072773,2.2691967,367656960,2.0,5744640,189056.36887478828,0.0032346807,0.9993482965510339,0.011993408,512.0,50000.0,400.0,2011
400.0,8.4284984e-05,110.0,44890,-0.006078546,2.2195356,367738880,2.0,5745920,189098.63908195496,0.0025577943,0.99903990898747,0.015411377,512.0,50000.0,400.0,1938
