policy_entropy,value_loss,episode_reward,sil_num_episodes,sil_valid_samples,fps,total_timesteps,nupdates,sil_steps,explained_variance,best_episode_reward
1.0503994226455688,0.0001284716126974672,0.0,2.0,512.0,1224,2592000,8100,3712.0,0.20644432306289673,100.0
1.397356390953064,0.00658032763749361,0.0,2.0,512.0,1221,2624000,8200,3712.0,0.5184516608715057,100.0
0.8074558973312378,0.004674852825701237,0.0,2.0,512.0,1219,2656000,8300,3712.0,0.35080909729003906,100.0
1.2927000522613525,0.002056797966361046,0.0,2.0,512.0,1216,2688000,8400,3712.0,0.15685611963272095,100.0
0.9997327923774719,0.007616118993610144,0.0,2.0,512.0,1214,2720000,8500,3712.0,0.19805437326431274,100.0
1.3669538497924805,0.002129611326381564,0.0,2.0,512.0,1212,2752000,8600,3712.0,0.4188620448112488,100.0
0.9699270129203796,0.022615160793066025,0.0,2.0,512.0,1210,2784000,8700,3712.0,0.3847978711128235,100.0
1.118259072303772,0.004606906790286303,0.0,2.0,512.0,1208,2816000,8800,3712.0,0.2248821258544922,100.0
1.109391212463379,0.0013943256344646215,0.0,2.0,512.0,1206,2848000,8900,3712.0,0.16515862941741943,100.0
2.215242624282837,0.006852784659713507,0.0,2.0,512.0,1204,2880000,9000,3712.0,-0.4565161466598511,100.0
0.8717840313911438,0.0002308937255293131,0.0,2.0,512.0,1202,2912000,9100,3712.0,0.6933121383190155,100.0
1.9103349447250366,0.0014516004594042897,0.0,2.0,512.0,1201,2944000,9200,3712.0,0.6093984246253967,100.0
1.5623860359191895,0.00031313247745856643,0.0,2.0,512.0,1199,2976000,9300,3712.0,0.6677233874797821,100.0
2.113373279571533,0.003052489133551717,0.0,2.0,512.0,1198,3008000,9400,3712.0,0.7183202803134918,100.0
1.7490251064300537,0.0017102074343711138,0.0,2.0,512.0,1196,3040000,9500,3712.0,0.5814064741134644,100.0
0.9498089551925659,0.0003032780368812382,0.0,2.0,512.0,1194,3072000,9600,3712.0,0.43153905868530273,100.0
1.1154444217681885,0.005664830096065998,0.0,2.0,512.0,1193,3104000,9700,3712.0,0.5376785099506378,100.0
1.2569987773895264,0.002922974992543459,0.0,2.0,512.0,1191,3136000,9800,3712.0,0.7911317646503448,100.0
1.1307504177093506,0.0017916470533236861,0.0,2.0,512.0,1189,3168000,9900,3712.0,0.6419207453727722,100.0
0.9418404698371887,0.011526623740792274,0.0,2.0,512.0,1188,3200000,10000,3712.0,0.4151155352592468,100.0
1.4221669435501099,0.001431406126357615,0.0,2.0,512.0,1187,3232000,10100,3712.0,0.6143400371074677,100.0
1.4930989742279053,0.0024466561153531075,0.0,2.0,512.0,1185,3264000,10200,3712.0,-0.4100841283798218,100.0
1.4210717678070068,0.000927235814742744,0.0,2.0,512.0,1184,3296000,10300,3712.0,0.2633817791938782,100.0
1.2482290267944336,0.001779048121534288,0.0,2.0,512.0,1182,3328000,10400,3712.0,0.22705698013305664,100.0
1.3717120885849,0.00012945635535288602,0.0,2.0,512.0,1181,3360000,10500,3712.0,0.6751147508621216,100.0
1.2528562545776367,0.005377084482461214,0.0,2.0,512.0,1180,3392000,10600,3712.0,0.6375802755355835,100.0
1.6146684885025024,0.002561429049819708,0.0,2.0,512.0,1178,3424000,10700,3712.0,0.3486902713775635,100.0
1.3892985582351685,0.0006044941255822778,0.0,2.0,512.0,1177,3456000,10800,3712.0,0.8841548711061478,100.0
1.259325623512268,0.0012652932200580835,0.0,2.0,512.0,1176,3488000,10900,3712.0,0.5395402014255524,100.0
0.792168915271759,0.0005827907589264214,0.0,2.0,512.0,1175,3520000,11000,3712.0,0.5887949466705322,100.0
1.569940209388733,0.002526255790144205,0.0,2.0,512.0,1173,3552000,11100,3712.0,0.7079606354236603,100.0
1.4259496927261353,0.0025159751530736685,0.0,2.0,512.0,1172,3584000,11200,3712.0,0.7751358449459076,100.0
1.066606044769287,0.0029259021393954754,0.0,2.0,512.0,1171,3616000,11300,3712.0,0.6027427911758423,100.0
1.3303792476654053,0.002047133632004261,0.0,2.0,512.0,1170,3648000,11400,3712.0,0.5240643918514252,100.0
1.2878528833389282,0.002372091170400381,0.0,2.0,512.0,1169,3680000,11500,3712.0,0.6009679436683655,100.0
0.009699787944555283,0.009139659814536572,0.0,2.0,512.0,1168,3712000,11600,3712.0,-0.006392478942871094,100.0
0.15144625306129456,0.00022752676159143448,0.0,2.0,512.0,1167,3744000,11700,3712.0,0.7602538615465164,100.0
0.01116076298058033,0.008301992900669575,0.0,2.0,512.0,1166,3776000,11800,3712.0,0.07857918739318848,100.0
0.1476230025291443,0.007316661532968283,0.0,2.0,512.0,1166,3808000,11900,3712.0,-0.049262046813964844,100.0
8.242959302151576e-05,0.0014676809078082442,0.0,2.0,512.0,1165,3840000,12000,3712.0,0.5895925462245941,100.0
0.002288439776748419,0.01115129142999649,0.0,2.0,512.0,1164,3872000,12100,3712.0,-0.21218538284301758,100.0
0.008923152461647987,0.009179838933050632,0.0,2.0,512.0,1163,3904000,12200,3712.0,0.023453116416931152,100.0
0.0027810707688331604,0.0006226988625712693,0.0,2.0,512.0,1163,3936000,12300,3712.0,0.7220801413059235,100.0
4.784988504979992e-06,0.0005647586658596992,0.0,2.0,512.0,1162,3968000,12400,3712.0,0.3876471519470215,100.0
1.2397543287079316e-05,0.0007138882065191865,0.0,2.0,512.0,1161,4000000,12500,3712.0,0.6826634705066681,100.0
2.8912138077430427e-05,0.001996544888243079,0.0,2.0,512.0,1160,4032000,12600,3712.0,0.2889063358306885,100.0
0.00928601436316967,0.010350448079407215,0.0,2.0,512.0,1160,4064000,12700,3712.0,-0.17627811431884766,100.0
0.04869280755519867,0.005342173855751753,0.0,2.0,512.0,1159,4096000,12800,3712.0,0.8489666134119034,100.0
6.817290620908523e-10,0.007344381418079138,0.0,2.0,512.0,1158,4128000,12900,3712.0,0.442263126373291,100.0
0.0036426372826099396,0.020489292219281197,0.0,2.0,512.0,1157,4160000,13000,3712.0,0.7672117352485657,100.0
0.0,0.03909562900662422,0.0,2.0,512.0,1156,4192000,13100,3712.0,0.022202491760253906,100.0
5.112256646656876e-13,0.008873377926647663,0.0,2.0,512.0,1155,4224000,13200,3712.0,0.6446313560009003,100.0
6.359309190884233e-05,0.0790761262178421,0.0,2.0,512.0,1155,4256000,13300,3712.0,-0.05343782901763916,100.0
0.018568171188235283,0.05158497765660286,0.0,2.0,512.0,1154,4288000,13400,3712.0,0.31002575159072876,100.0
0.050452958792448044,0.04334736987948418,0.0,2.0,512.0,1153,4320000,13500,3712.0,0.4926183223724365,100.0
0.957598865032196,0.06699706614017487,0.0,2.0,512.0,1152,4352000,13600,3712.0,0.44772714376449585,100.0
0.177997425198555,0.04842860996723175,0.0,2.0,512.0,1152,4384000,13700,3712.0,0.5295616984367371,100.0
0.03490655496716499,0.037542808800935745,0.0,2.0,512.0,1151,4416000,13800,3712.0,0.4341672658920288,100.0
0.01360577903687954,0.11391106992959976,0.0,2.0,512.0,1150,4448000,13900,3712.0,-0.8849778175354004,100.0
1.3245983199183797e-09,0.027252957224845886,0.0,2.0,512.0,1150,4480000,14000,3712.0,0.4363163709640503,100.0
0.04192017763853073,0.007055971771478653,0.0,2.0,512.0,1149,4512000,14100,3712.0,0.5910791754722595,100.0
0.016330139711499214,0.005362641531974077,0.0,2.0,512.0,1148,4544000,14200,3712.0,0.7812357842922211,100.0
0.37091320753097534,0.020410966128110886,0.0,2.0,512.0,1148,4576000,14300,3712.0,0.40130722522735596,100.0
0.32927441596984863,0.014890013262629509,0.0,2.0,512.0,1147,4608000,14400,3712.0,0.4052489995956421,100.0
0.007308711763471365,0.049624498933553696,0.0,2.0,512.0,1146,4640000,14500,3712.0,-0.21173298358917236,100.0
0.6200729608535767,0.08747647702693939,0.0,2.0,512.0,1146,4672000,14600,3712.0,0.3238232731819153,100.0
1.6351865530014038,0.009697280824184418,0.0,2.0,512.0,1145,4704000,14700,3712.0,0.5363865494728088,100.0
0.649713933467865,0.001557428971864283,0.0,2.0,512.0,1144,4736000,14800,3712.0,0.2448100447654724,100.0
0.3713398873806,0.003905707271769643,0.0,2.0,512.0,1143,4768000,14900,3712.0,-1.3111422061920166,100.0
1.5623260736465454,0.004736599512398243,0.0,2.0,512.0,1143,4800000,15000,3712.0,0.5504307150840759,100.0
1.1001479625701904,0.00962013565003872,0.0,2.0,512.0,1142,4832000,15100,3712.0,0.38159650564193726,100.0
0.5172097682952881,0.0002545608440414071,0.0,2.0,512.0,1142,4864000,15200,3712.0,0.7529566735029221,100.0
0.05640556290745735,0.004091531969606876,0.0,2.0,512.0,1141,4896000,15300,3712.0,0.2282441258430481,100.0
0.531136155128479,0.010861139744520187,0.0,2.0,512.0,1140,4928000,15400,3712.0,0.8209734857082367,100.0
0.6690072417259216,0.00022783168242312968,0.0,2.0,512.0,1139,4960000,15500,3712.0,0.7831355482339859,100.0
0.3912821412086487,0.00010754259710665792,0.0,2.0,512.0,1139,4992000,15600,3712.0,-0.08078110218048096,100.0
0.6824551224708557,0.001028277911245823,0.0,2.0,512.0,1138,5024000,15700,3712.0,0.39391714334487915,100.0
1.277430534362793,0.004828473553061485,0.0,2.0,512.0,1138,5056000,15800,3712.0,0.5205765962600708,100.0
1.3141770362854004,0.011731479316949844,0.0,2.0,512.0,1137,5088000,15900,3712.0,0.7570735514163971,100.0
1.3049226999282837,0.00857480801641941,0.0,2.0,512.0,1137,5120000,16000,3712.0,0.4913524389266968,100.0
1.0992467403411865,0.005645902827382088,0.0,2.0,512.0,1136,5152000,16100,3712.0,0.22197818756103516,100.0
1.1409741640090942,0.0041786376386880875,0.0,2.0,512.0,1135,5184000,16200,3712.0,0.80714912712574,100.0
0.9339115023612976,0.0037798911798745394,0.0,2.0,512.0,1135,5216000,16300,3712.0,0.504410982131958,100.0
0.4532231390476227,0.008599789813160896,0.0,2.0,512.0,1134,5248000,16400,3712.0,0.682633638381958,100.0
1.3382484912872314,0.004386280197650194,0.0,2.0,512.0,1134,5280000,16500,3712.0,0.8022009134292603,100.0
0.9524995684623718,0.004278510343283415,0.0,2.0,512.0,1133,5312000,16600,3712.0,0.48406076431274414,100.0
1.1267566680908203,0.0280271265655756,0.0,2.0,512.0,1133,5344000,16700,3712.0,0.34164857864379883,100.0
0.16843901574611664,0.03817632049322128,0.0,2.0,512.0,1132,5376000,16800,3712.0,0.5449669659137726,100.0
0.5188928842544556,0.009129484184086323,0.0,2.0,512.0,1131,5408000,16900,3712.0,0.3009631037712097,100.0
0.5549336075782776,0.012392966076731682,0.0,2.0,512.0,1131,5440000,17000,3712.0,0.7916043549776077,100.0
0.1949498951435089,0.025722820311784744,0.0,2.0,512.0,1130,5472000,17100,3712.0,0.3378317356109619,100.0
0.30022183060646057,0.012915072962641716,0.0,2.0,512.0,1130,5504000,17200,3712.0,0.443057656288147,100.0
1.2749416828155518,0.003160906955599785,0.0,2.0,512.0,1130,5536000,17300,3712.0,0.3596537709236145,100.0
0.3574191629886627,0.014719024300575256,0.0,2.0,512.0,1129,5568000,17400,3712.0,0.29769420623779297,100.0
0.08768965303897858,0.012248685583472252,0.0,2.0,512.0,1128,5600000,17500,3712.0,0.009003698825836182,100.0
0.24559085071086884,0.01141357608139515,0.0,2.0,512.0,1126,5632000,17600,3712.0,0.6571995913982391,100.0
0.007014068309217691,0.0026131554041057825,0.0,2.0,512.0,1126,5664000,17700,3712.0,-4.208749294281006,100.0
0.09246964752674103,0.00022890305262990296,0.0,2.0,512.0,1125,5696000,17800,3712.0,0.5858543515205383,100.0
0.38534751534461975,0.001673752791248262,0.0,2.0,512.0,1125,5728000,17900,3712.0,0.5628286004066467,100.0
0.11255556344985962,0.005528704263269901,0.0,2.0,512.0,1124,5760000,18000,3712.0,-0.6944179534912109,100.0
1.5395300388336182,0.0047201132401824,0.0,2.0,512.0,1124,5792000,18100,3712.0,0.35767340660095215,100.0
0.65868079662323,0.0016686227172613144,0.0,2.0,512.0,1123,5824000,18200,3712.0,-0.13359582424163818,100.0
1.4064133167266846,0.0013254029909148812,0.0,2.0,512.0,1123,5856000,18300,3712.0,0.5632061958312988,100.0
0.7127104997634888,0.0030473084188997746,0.0,2.0,512.0,1123,5888000,18400,3712.0,0.7165178060531616,100.0
0.6563029885292053,0.0032750952523201704,0.0,2.0,512.0,1122,5920000,18500,3712.0,0.6098440885543823,100.0
1.61237370967865,0.012351920828223228,0.0,2.0,512.0,1122,5952000,18600,3712.0,0.5408946573734283,100.0
1.0742963552474976,0.006946239620447159,0.0,2.0,512.0,1121,5984000,18700,3712.0,0.14344972372055054,100.0
0.038809049874544144,0.005998670589178801,0.0,2.0,512.0,1121,6016000,18800,3712.0,0.4093673825263977,100.0
1.1282455921173096,0.0017341973725706339,0.0,2.0,512.0,1120,6048000,18900,3712.0,0.5929901897907257,100.0
1.014142394065857,0.008289063349366188,0.0,2.0,512.0,1120,6080000,19000,3712.0,0.5584180057048798,100.0
