episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
-38.975,265291.77334427834,75330,-0.9668260812759399,0.0,2.7826676,0.0,9642240,0.00037758448,0.00070935703,-5.225,0.0042419434,2374,-0.0018149767,0.0,0.0,617103360
-49.6,265325.2915151119,75340,-0.050446271896362305,0.0,2.7998629,0.0,9643520,0.00073921506,0.00035320068,-6.275,0.003540039,2547,-0.000594453,0.0,0.0,617185280
-51.675,265359.386811018,75350,-0.08002984523773193,0.0,2.7597733,0.0,9644800,0.0012147924,0.0029740245,-2.3,0.008331299,2497,-0.0039817994,0.0,0.0,617267200
-13.6,265394.1804456711,75360,-2.1042416095733643,0.0,2.7691112,0.0,9646080,0.00017379636,0.0028773963,-0.45,0.008331299,2436,-0.00260452,0.0,0.0,617349120
-33.575,265428.49053907394,75370,-0.6743377447128296,0.0,2.7561684,0.0,9647360,0.001951189,0.0019649253,-3.1,0.013366699,2474,-0.0050368216,0.0,0.0,617431040
-27.75,265462.6339356899,75380,-0.04243326187133789,0.0,2.7975228,0.0,9648640,0.0014585424,0.00036840793,-1.725,0.002532959,2428,-0.00057418837,0.0,0.0,617512960
-34.925,265497.5487706661,75390,-0.0017075538635253906,0.0,2.7798693,0.0,9649920,0.19519782,7.735289e-05,-1.0,0.0008239746,2455,-7.518643e-05,0.0,0.0,617594880
-52.75,265531.1532599926,75400,-0.02723860740661621,0.0,2.7742958,0.0,9651200,0.00113271,0.0005814454,-1.925,0.0024108887,2441,-0.00043447214,0.0,0.0,617676800
-33.975,265565.34353518486,75410,-0.001722574234008789,0.0,2.8178213,0.0,9652480,0.0010813413,4.331294e-05,-0.7,0.00036621094,2384,-7.211743e-05,0.0,0.0,617758720
-59.375,265600.376881361,75420,0.00017660856246948242,0.0,2.8018785,0.0,9653760,0.11766565,2.788007e-05,-1.7,0.00024414062,2348,-4.6665635e-05,0.0,0.0,617840640
-60.525,265633.94733285904,75430,0.17285221815109253,0.0,2.7964132,0.0,9655040,0.011843105,0.001137983,-3.525,0.008392334,2443,-0.003832383,0.0,0.0,617922560
-57.175,265667.17183852196,75440,-0.09913265705108643,0.0,2.7565804,0.0,9656320,0.0005793192,0.00067102356,-5.75,0.005432129,2440,-0.00096434954,0.0,0.0,618004480
-53.625,265700.71548628807,75450,-4.946252346038818,0.0,2.779214,0.0,9657600,0.00018530144,0.00085387466,-2.175,0.0068969727,2424,-0.0039456305,0.0,0.0,618086400
-21.15,265736.20682930946,75460,-0.7185605764389038,0.0,2.7330801,0.0,9658880,0.0005268937,0.0009946236,-0.5,0.0065612793,2374,-0.0020208568,0.0,0.0,618168320
-25.3,265770.21186447144,75470,-0.0016202926635742188,0.0,2.7527432,0.0,9660160,0.12979238,9.41305e-05,-0.95,0.00088500977,2430,-9.2186274e-05,0.0,0.0,618250240
-43.15,265804.3849182129,75480,-0.0029758214950561523,0.0,2.7345695,0.0,9661440,0.052308813,0.00022093739,-0.6,0.0015563965,2565,-8.662057e-05,0.0,0.0,618332160
-30.85,265839.3789572716,75490,-2.5823826789855957,0.0,2.8011563,0.0,9662720,0.0003631591,0.0005646882,-1.175,0.004852295,1786,-0.0028259754,0.0,0.0,618414080
-34.875,265873.54316926,75500,-0.0019468069076538086,0.0,2.77054,0.0,9664000,0.33470714,0.00026153383,-4.825,0.0036315918,2346,-8.936883e-05,0.0,0.0,618496000
-48.45,265907.38604927063,75510,0.14277267456054688,0.0,2.7099397,0.0,9665280,0.053443756,0.001322716,-6.5,0.006652832,2478,-0.0028910758,0.0,0.0,618577920
-59.175,265941.25614094734,75520,-5.748304843902588,0.0,2.7394211,0.0,9666560,0.00061301445,0.0014098104,-2.325,0.0079956055,2407,-0.0033728841,0.0,0.0,618659840
-35.0,265976.8753499985,75530,-0.06857407093048096,0.0,2.626737,0.0,9667840,0.0011605755,0.0013501524,-0.35,0.0056762695,2494,-0.0008430246,0.0,0.0,618741760
-25.3,266010.9873330593,75540,3.236532211303711e-05,0.0,2.7583568,0.0,9669120,0.62149715,0.0002595441,-1.075,0.0024414062,2463,-2.4337322e-05,0.0,0.0,618823680
-20.3,266044.9135529995,75550,-0.0803452730178833,0.0,2.6925797,0.0,9670400,0.005878494,0.0012518873,-1.725,0.0040283203,2419,-0.00074328145,0.0,0.0,618905600
-51.425,266079.8666844368,75560,0.1294698715209961,0.0,2.676474,0.0,9671680,0.015982572,0.0055397325,-6.0,0.015350342,2427,-0.004029595,0.0,0.0,618987520
-71.8,266113.8651781082,75570,0.006130099296569824,0.0,2.7262735,0.0,9672960,0.29872563,0.00058497966,-7.625,0.0024108887,2481,-0.0007634228,0.0,0.0,619069440
-42.225,266147.1275212765,75580,-0.00015306472778320312,0.0,2.6339557,0.0,9674240,0.21316911,7.996379e-05,-2.25,0.00064086914,2468,-4.3681066e-05,0.0,0.0,619151360
-18.0,266181.9123866558,75590,0.1385272741317749,0.0,2.7202227,0.0,9675520,0.01912632,0.0017078386,-0.3,0.007537842,2403,-0.0022924042,0.0,0.0,619233280
-37.925,266216.4413585663,75600,-0.2918260097503662,0.0,2.756399,0.0,9676800,0.0009516702,0.0032775505,-4.15,0.0049438477,2437,-9.464954e-05,0.0,0.0,619315200
-47.75,266250.77357029915,75610,-5.560699939727783,0.0,2.7531233,0.0,9678080,0.00047547132,0.0014524829,-4.4,0.0067749023,2482,-0.0043588425,0.0,0.0,619397120
-55.425,266284.7933707237,75620,-0.002237081527709961,0.0,2.7836,0.0,9679360,0.098609485,3.5976547e-05,-4.525,0.0004272461,2488,-5.7363693e-05,0.0,0.0,619479040
-68.4,266320.7262635231,75630,-0.04071664810180664,0.0,2.7745569,0.0,9680640,0.0017628511,0.00058685336,-7.25,0.0053710938,2377,-0.00045211523,0.0,0.0,619560960
-52.125,266354.61956858635,75640,-0.007299661636352539,0.0,2.795753,0.0,9681920,0.09078942,0.00023097233,-5.525,0.0018920898,2454,-0.00018503678,0.0,0.0,619642880
-31.6,266388.28839850426,75650,-0.0030727386474609375,0.0,2.7744348,0.0,9683200,0.029420778,0.000524548,-2.65,0.0038757324,2469,-7.2850395e-05,0.0,0.0,619724800
-14.775,266423.5706977844,75660,0.3131515383720398,0.0,2.6828508,0.0,9684480,0.1482509,0.00292346,-0.8,0.011260986,2422,-0.002998839,0.0,0.0,619806720
-77.25,266457.3300688267,75670,-0.011093735694885254,0.0,2.7139688,0.0,9685760,0.8992854,0.00030453672,-7.325,0.0034484863,2503,-0.00025456725,0.0,0.0,619888640
-79.8,266492.0968911648,75680,-0.06570982933044434,0.0,2.7513587,0.0,9687040,0.01906212,0.00051488215,-8.975,0.0033569336,2384,-0.00092977204,0.0,0.0,619970560
-21.75,266526.8267529011,75690,-0.19317495822906494,0.0,2.7506614,0.0,9688320,0.0025629965,0.0016076887,-1.325,0.0056152344,2429,-0.001496077,0.0,0.0,620052480
-32.5,266560.28458857536,75700,-0.3292524814605713,0.0,2.738888,0.0,9689600,0.0016355087,0.00085552153,-0.325,0.0053710938,2385,-0.0016315861,0.0,0.0,620134400
-68.725,266595.0107462406,75710,-0.7070326805114746,0.0,2.6726365,0.0,9690880,0.0012608392,0.0018580303,-7.9,0.012176514,2055,-0.00251647,0.0,0.0,620216320
-66.7,266628.5279767513,75720,-0.00396573543548584,0.0,2.6780095,0.0,9692160,0.14660601,0.0009949902,-9.3,0.004547119,2433,-0.00013731413,0.0,0.0,620298240
-36.2,266662.67280745506,75730,-0.15890324115753174,0.0,2.743066,0.0,9693440,0.0008292774,0.00153908,-1.95,0.0038452148,2422,-0.0013588627,0.0,0.0,620380160
-38.1,266697.59608721733,75740,-0.09938037395477295,0.0,2.7722101,0.0,9694720,0.0007607893,0.0025947306,-0.575,0.0077209473,2421,-0.001753535,0.0,0.0,620462080
-36.6,266731.4163312912,75750,0.0017715096473693848,0.0,2.7301683,0.0,9696000,0.12747084,0.0017412587,-0.875,0.0079956055,2441,-0.0018845084,0.0,0.0,620544000
-37.35,266766.25563049316,75760,-0.0007804632186889648,0.0,2.7552865,0.0,9697280,0.05753514,0.00011815829,-2.25,0.0012207031,1853,-0.00014731356,0.0,0.0,620625920
