policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
1.7146913,108800,0.0,100.0,12.0,509.0,2217,0.0070691565,7.0371275e-06,-1.2043921947479248,0.0,0.09854126,3392.770622253418,38677.0,-0.011983643,6963200,850
1.6590071,110080,0.0,100.0,12.0,508.0,2256,0.009586456,1.7884307e-05,-5.6876702308654785,0.0,0.13064575,3428.261641025543,38677.0,-0.010834282,7045120,860
1.6590412,111360,0.0,100.0,12.0,508.0,2233,0.0061202026,6.154599e-06,-4.67119026184082,0.0,0.084991455,3465.005912065506,38677.0,-0.008338967,7127040,870
1.720701,112640,0.0,100.0,12.0,508.0,2144,0.008033122,5.7029257e-07,-2.8686656951904297,0.0,0.10247803,3501.548860311508,38677.0,-0.014365227,7208960,880
1.7061269,113920,0.0,100.0,12.0,511.0,2195,0.0056158267,3.397156e-06,-2.993955612182617,0.0,0.065460205,3538.7017645835876,38677.0,-0.009585785,7290880,890
1.7190269,115200,0.0,100.0,12.0,509.0,2134,0.005504466,1.054047e-06,-2.9952139854431152,0.0,0.06567383,3576.115421295166,38677.0,-0.008733929,7372800,900
1.7404017,116480,0.0,100.0,12.0,505.0,2222,0.005937884,1.9856452e-06,-2.3892486095428467,0.0,0.07595825,3613.188448905945,38677.0,-0.0102741355,7454720,910
1.7401367,117760,0.0,100.0,12.0,506.0,2232,0.0052059134,4.311273e-05,-3.9098687171936035,0.0,0.06472778,3651.4965653419495,38677.0,-0.010323172,7536640,920
1.8604182,119040,0.0,100.0,12.0,511.0,2168,0.0070055802,4.4518306e-06,-2.1143856048583984,0.0,0.08798218,3688.325259923935,38677.0,-0.011540037,7618560,930
1.980501,120320,0.0,100.0,12.0,508.0,2224,0.006700378,6.934149e-06,-1.0488495826721191,0.0,0.086242676,3724.8447546958923,38677.0,-0.007438689,7700480,940
2.0306392,121600,0.0,100.0,12.0,505.0,2272,0.0051486352,3.335137e-05,-1.2455883026123047,0.0,0.06442261,3761.5084793567657,38677.0,-0.010569856,7782400,950
2.090964,122880,0.0,100.0,12.0,507.0,2344,0.0046392195,2.420561e-06,-2.5918469429016113,0.0,0.055908203,3797.7977480888367,38677.0,-0.010839193,7864320,960
2.0318604,124160,0.0,100.0,12.0,510.0,2326,0.007401253,9.2685e-06,-1.187939167022705,0.0,0.09213257,3834.0672013759613,38677.0,-0.01172614,7946240,970
2.0305786,125440,0.0,100.0,12.0,509.0,2235,0.0065121697,1.6954991e-06,-0.6181309223175049,0.0,0.08706665,3870.348179101944,38677.0,-0.016042618,8028160,980
2.1116087,126720,0.0,100.0,12.0,506.0,2238,0.0070695635,4.756164e-06,-0.909693717956543,0.0,0.0947876,3906.5740513801575,38677.0,-0.015661584,8110080,990
2.1357276,128000,0.0,100.0,12.0,510.0,2206,0.006015317,3.4623893e-06,-0.652208685874939,0.0,0.06719971,3943.0961887836456,38677.0,-0.014801264,8192000,1000
2.148992,129280,0.0,100.0,12.0,508.0,2235,0.003037447,0.00036459626,0.03687626123428345,0.0,0.028167725,3979.9707729816437,38677.0,-0.0040654354,8273920,1010
2.0335085,130560,0.025,100.0,13.0,270.0,2256,0.0066476893,1.8411274e-06,-2.3832032680511475,2.5,0.08319092,4016.3955364227295,42709.0,-0.016966753,8355840,1020
1.9387736,131840,0.0,100.0,13.0,509.0,2252,0.005610203,2.61264e-06,-1.386828899383545,0.0,0.0736084,4053.0323672294617,42709.0,-0.015628593,8437760,1030
1.8988178,133120,0.0,100.0,13.0,509.0,2265,0.006349468,6.505768e-06,-1.4735586643218994,0.0,0.0796814,4089.4870932102203,42709.0,-0.014401628,8519680,1040
1.8428636,134400,0.0,100.0,13.0,508.0,2245,0.005336506,2.4467305e-05,-1.8808987140655518,0.0,0.064971924,4126.821492433548,42709.0,-0.01039605,8601600,1050
1.9541638,135680,0.0,100.0,13.0,510.0,1820,0.0069217924,1.7695225e-05,-1.2039458751678467,0.0,0.08340454,4167.708338499069,42709.0,-0.013082108,8683520,1060
1.9137381,136960,0.0,100.0,13.0,510.0,2298,0.0064668464,4.222675e-06,-1.1985180377960205,0.0,0.08554077,4205.289832353592,42709.0,-0.012962649,8765440,1070
1.861798,138240,0.0,100.0,13.0,507.0,2274,0.0059627467,4.685041e-06,-1.4129083156585693,0.0,0.07489014,4241.545998811722,42709.0,-0.014647906,8847360,1080
